Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Calça Verão Cetim,2023-02-01,198,25,50,Cetim,Verão
Calça Verão Tactel,2023-02-01,165,20,40,Tactel,Verão
Camisa Verão Algodão,2023-02-01,255,22,44,Algodão,Verão
Vestido Outono Lã,2023-03-01,155,28,56,Lã,Outono
T-shirt Outono Algodão,2023-03-01,200,10,20,Algodão,Outono
Short Outono Sarja,2023-03-01,210,18,36,Sarja,Outono
Saia Outono Couro,2023-03-01,203,14,28,Couro,Outono
Cropped Outono Viscose,2023-03-01,185,12,24,Viscose,Outono
Camisa Outono Lã,2023-03-01,187,24,48,Lã,Outono
Blusa Outono Tricô,2023-03-01,193,16,32,Tricô,Outono
Bermuda Outono Jeans,2023-03-01,187,18,36,Jeans,Outono
Calça Outono Algodão,2023-03-01,221,20,40,Algodão,Outono
Calça Outono Sarja,2023-03-01,258,22,44,Sarja,Outono
Vestido Outono Lã,2023-04-01,175,28,56,Lã,Outono
T-shirt Outono Algodão,2023-04-01,151,10,20,Algodão,Outono
Short Outono Sarja,2023-04-01,190,18,36,Sarja,Outono
Saia Outono Couro,2023-04-01,270,14,28,Couro,Outono
Cropped Outono Viscose,2023-04-01,168,12,24,Viscose,Outono
Camisa Outono Lã,2023-04-01,242,24,48,Lã,Outono
Blusa Outono Tricô,2023-04-01,243,16,32,Tricô,Outono
Bermuda Outono Jeans,2023-04-01,176,18,36,Jeans,Outono
Calça Outono Algodão,2023-04-01,210,20,40,Algodão,Outono
Calça Outono Sarja,2023-04-01,242,22,44,Sarja,Outono
Vestido Inverno Lã,2023-05-01,182,32,64,Lã,Inverno
T-shirt Inverno Algodão,2023-05-01,187,12,24,Algodão,Inverno
Short Inverno Moletom,2023-05-01,176,18,36,Moletom,Inverno
Saia Inverno Lã,2023-05-01,163,22,44,Lã,Inverno
Cropped Inverno Algodão,2023-05-01,174,14,28,Algodão,Inverno
Camisa Inverno Flanela,2023-05-01,157,24,48,Flanela,Inverno
Blusa Inverno Lã,2023-05-01,195,26,52,Lã,Inverno
Bermuda Inverno Moletom,2023-05-01,171,20,40,Moletom,Inverno
Calça Inverno Malha,2023-05-01,202,28,56,Malha,Inverno
Calça Inverno Lã,2023-05-01,148,30,60,Lã,Inverno
T-shirt Inverno Algodão,2023-06-01,205,12,24,Algodão,Inverno
Vestido Inverno Lã,2023-06-01,220,32,64,Lã,Inverno
Saia Inverno Lã,2023-06-01,135,22,44,Lã,Inverno
Cropped Inverno Algodão,2023-06-01,206,14,28,Algodão,Inverno
Short Inverno Moletom,2023-06-01,232,18,36,Moletom,Inverno
Blusa Inverno Lã,2023-06-01,159,26,52,Lã,Inverno
Bermuda Inverno Moletom,2023-06-01,246,20,40,Moletom,Inverno
Calça Inverno Malha,2023-06-01,208,28,56,Malha,Inverno
Calça Inverno Lã,2023-06-01,175,30,60,Lã,Inverno
Camisa Inverno Flanela,2023-06-01,194,24,48,Flanela,Inverno
Vestido Inverno Lã,2023-07-01,213,32,64,Lã,Inverno
T-shirt Inverno Algodão,2023-07-01,199,12,24,Algodão,Inverno
Short Inverno Moletom,2023-07-01,213,18,36,Moletom,Inverno
Saia Inverno Lã,2023-07-01,169,22,44,Lã,Inverno
Cropped Inverno Algodão,2023-07-01,202,14,28,Algodão,Inverno
Camisa Inverno Flanela,2023-07-01,155,24,48,Flanela,Inverno
Blusa Inverno Lã,2023-07-01,194,26,52,Lã,Inverno
Bermuda Inverno Moletom,2023-07-01,170,20,40,Moletom,Inverno
Calça Inverno Malha,2023-07-01,175,28,56,Malha,Inverno
Calça Inverno Lã,2023-07-01,235,30,60,Lã,Inverno
T-shirt Primavera Poliéster,2023-08-01,230,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2023-08-01,216,30,60,Chiffon,Primavera
Saia Primavera Seda,2023-08-01,165,14,28,Seda,Primavera
Cropped Primavera Linho,2023-08-01,189,12,24,Linho,Primavera
Short Primavera Algodão,2023-08-01,235,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2023-08-01,203,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2023-08-01,268,18,36,Algodão,Primavera
Calça Primavera Linho,2023-08-01,211,22,44,Linho,Primavera
Calça Primavera Viscose,2023-08-01,205,20,40,Viscose,Primavera
Camisa Primavera Viscose,2023-08-01,190,24,48,Viscose,Primavera
Vestido Primavera Chiffon,2023-09-01,203,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2023-09-01,195,10,20,Poliéster,Primavera
Saia Primavera Seda,2023-09-01,221,14,28,Seda,Primavera
Cropped Primavera Linho,2023-09-01,228,12,24,Linho,Primavera
Short Primavera Algodão,2023-09-01,176,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2023-09-01,160,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2023-09-01,145,18,36,Algodão,Primavera
Calça Primavera Linho,2023-09-01,215,22,44,Linho,Primavera
Calça Primavera Viscose,2023-09-01,167,20,40,Viscose,Primavera
Camisa Primavera Viscose,2023-09-01,136,24,48,Viscose,Primavera
T-shirt Primavera Poliéster,2023-10-01,212,10,20,Poliéster,Primavera
Calça Primavera Viscose,2023-10-01,276,20,40,Viscose,Primavera
Calça Primavera Linho,2023-10-01,201,22,44,Linho,Primavera
Bermuda Primavera Algodão,2023-10-01,226,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2023-10-01,204,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2023-10-01,198,24,48,Viscose,Primavera
Cropped Primavera Linho,2023-10-01,229,12,24,Linho,Primavera
Saia Primavera Seda,2023-10-01,193,14,28,Seda,Primavera
Short Primavera Algodão,2023-10-01,210,18,36,Algodão,Primavera
Vestido Primavera Chiffon,2023-10-01,212,30,60,Chiffon,Primavera
